"cell_tower_id1","cell_tower_id2","source1_name","source2_name","district1","district2","latitude1","latitude2","longitude1","longitude2","nearest_precip_station","distance","nearest_precip_lat","nearest_precip_long","id_1","id_2"
"CM0189","CM0246","Ethul kotte_Ind-CM0189-26G/1473-23-ODU-1(RTNRF-1)","Battaramulla_West-CM0246-26G/1473-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.89983,6.90214,79.9058,79.9143,434660,0.000491807959844,6.9,79.867,11,1670
"TR0066","TR0090","Trinco_DBN-TR0066-18G/1763-23-ODU-1(RTNRF-1)","Orrs_Hill-TR0090-18G/1763-23-ODU-1(RTNRF-1)","Trincomalee","Trincomalee",8.580278,8.575556,81.244722,81.222222,434180,0.0016411250659,8.539,81.182,12,1671
"GM0019","GM0196","Ja_Ela_North-GM0019-23G/1349-23-ODU-1(RTNRF-1)","Udammita-GM0196-23G/1349-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.10546,7.11469,79.8791,79.8946,434410,0.001477287503884,7.467,80.367,13,1672
"TR0013","TR0001","Trinco_Town_South_Dialog-TR0013-23G/923-23-ODU-1(RTNRF-1)","Trinco_Town_Dialog-TR0001-23G/923-23-ODU-1(RTNRF-1)","Trincomalee","Trincomalee",8.568889,8.575278,81.233611,81.229722,434100,0.000102412197512,9.267,80.817,14,1673
"TR0013","TR0001","Trinco_Town_South_Dialog-TR0013-23G/923-24-ODU-1(RTNRF-1)","Trinco_Town_Dialog-TR0001-23G/923-24-ODU-1(RTNRF-1)","Trincomalee","Trincomalee",8.568889,8.575278,81.233611,81.229722,434100,0.000102412197512,9.267,80.817,15,1674
"MT0106","MT0002","Ambul_Ambe-MT0106-15G/679-23-ODU-1(RTNRF-1)","Galewela-MT0002-15G/679-23-ODU-1(RTNRF-1)","Matale","Matale",7.799167,7.76252,80.631944,80.5699,434500,0.00349955978598,7.181,79.866,16,1675
"CM0056","CM0409","Maharagama-CM0056-18G/970-23-ODU-1(RTNRF-1)","Pelanwatta-CM0409-18G/970-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.83946,6.826944,79.9271,79.953056,434660,0.000816438607755,6.9,79.867,17,1676
"CM0056","CM0409","Maharagama-CM0056-18G/970-24-ODU-1(RTNRF-1)","Pelanwatta-CM0409-18G/970-24-ODU-1(RTNRF-1)","Colombo","Colombo",6.83946,6.826944,79.9271,79.953056,434660,0.000816438607755,6.9,79.867,18,1677
"KE0053","KA0004","Pattampitiya-KE0053-13G/581-23-ODU-1(RTNRF-1)","Galagedara-KA0004-13G/581-23-ODU-1(RTNRF-1)","Kandy","Kandy",7.32156,7.36747,80.439,80.5387,434440,0.00208923433465,7.333,80.633,19,1678
"KE0053","KA0004","Pattampitiya-KE0053-13G/581-24-ODU-1(RTNRF-1)","Galagedara-KA0004-13G/581-24-ODU-1(RTNRF-1)","Kandy","Kandy",7.32156,7.36747,80.439,80.5387,434440,0.00208923433465,7.333,80.633,20,1679
